HAAA5c72dec2-6268-4f40-b373-d35f102ff489,30 manor place,,Takeaway/sandwich shop,30 Manor Place,London,SE17 3BB,3,-0.097525,51.489251
239d513a-068e-4700-b46b-785a6b2bc6e4,56 social club,,Pub/bar/nightclub,56 Peckham High Street,London,SE15 5DP,3,-0.070891,51.473214
cad6624e-51b9-4357-b2c5-8b81fcb5c33e,805 restaurant,,Restaurant/Cafe/Canteen,805-809 Old Kent Road,London,SE15 1NX,4,-0.056809,51.479969
6475225c-9aa5-481e-b2c1-f4296a895f16,A & h catering,,Restaurant/Cafe/Canteen,Dulwich And Sydenham Hill Golf Grange Lane,London,SE21 7LH,5,-0.074302,51.437677
e0f6cd34-a90a-44ea-a946-48098f3ed83c,A booth ltd,,Farmers/growers,15 Stoney Street,London,SE1 9AD,5,-0.091669,51.505658
df57bb16-2a54-4d66-af92-ebe8c590e9ad,Abba fresh restaurant,,Restaurant/Cafe/Canteen,83 East Street,London,SE17 2DH,3,-0.092383,51.488898
5ab922c4-b536-4c89-b66b-9c30a6fc1869,Abdellah bakkali,,Other catering premises,,London,,3,0.0,0.0
e78366bd-50a8-4db2-8700-e10ac6d18791,Abm catering,,Restaurant/Cafe/Canteen,University Academy of Engineer Trafalgar Street,London,SE17 2TP,5,-0.08921,51.487947
5126cb42-5e08-42b1-b159-a7707f2c5630,Abokobi ghanaian restaurant,,Restaurant/Cafe/Canteen,33 Camberwell Road,London,SE5 0EZ,4,-0.093922,51.483438
d0bfc32c-3af4-4166-be7b-ab183e52f82c,Action for blind people,,Restaurant/Cafe/Canteen,14-16 Verney Road,London,SE16 3DZ,5,-0.062874,51.484691
710b4cd9-a414-4107-8761-bb6da2a0bb63,Ada saltar cafe,,Restaurant/Cafe/Canteen,Southwark College Bermondsey C Keetons Road,London,SE16 4EE,5,-0.062176,51.496397
b3983cdd-f4da-44c8-946f-6ba91dc17b74,Advocates,,Restaurant/Cafe/Canteen,Advocates Crown Court 1 Pocock Street,London,SE1 0BT,5,-0.100659,51.502566
642169f0-8790-4f36-a7da-1b0cb6a5020c,Advocates lounge,,Other catering premises,Advocates Lounge Sessions Hou Newington Causeway,London,SE1 6AZ,5,-0.096547,51.498192
366a9f23-71d3-4fc5-90ce-274fff032ac2,Afrikiko bar restaurant & night club,,Restaurant/Cafe/Canteen,871 Old Kent Road,London,SE15 1NX,1,-0.056809,51.479969
02c0b41e-77c2-4afd-8796-6583e3b1bbe1,After taste chinese restaurant,,Restaurant/Cafe/Canteen,97 Newington Butts,London,SE1 6SF,4,-0.100612,51.492602
